products	reactants	set
O=C(O)C1CCS[Pt]23SCCC(C(=O)O)N2[C@@H]2CCCC[C@H]2N13	NC(CCS[Pt]1(SCCC(N)C(=O)O)N[C@@H]2CCCC[C@H]2N1)C(=O)O	train
O=C(O)Cc1ccccc1	NCCc1ccccc1	train
C/C(=C/C(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O	CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12	train
O=C(O)c1cc(O)c2c(c1)C(C1c3cccc(O)c3C(=O)c3c(O)cc(C(=O)O)cc31)c1cccc(O)c1C2=O	O=C(O)c1cc(O)c2c(c1)Cc1cccc(O)c1C2=O	train
O=C(O)[C@H]1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)[C@H](O)[C@@H](O)[C@@H]1O	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1	train
Cc1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1Nc1nccc(-c2cccnc2)n1	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1	train
NCCC(c1ccccc1)c1ccccn1	CNCCC(c1ccccc1)c1ccccn1	train
Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](C=S(=O)([O-])[O-])OC4=O)cc3F)cn2)n1	Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1	train
Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)(=O)O)cc1	Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)O)cc1	train
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C(=O)O)c3ccccc3n1)c(=O)n2C	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	train
CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(C[N+](C)(C)[O-])o1	CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1	train
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)O)CC3	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)O)CC3	train
C[C@]12C=CC(=O)C=C1[C@@H](O)C[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO	C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO	train
NC(=O)N1c2ccccc2C=C(OS(=O)(=O)[O-])c2ccccc21	NC(=O)N1c2ccccc2CC(=O)c2ccccc21	train
COc1cc2nc(N3CCNCC3)nc(N)c2cc1OC	COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC	train
COc1cc(O)c(N)c(C(=O)Nc2ccc(Cl)cn2)c1	COc1ccc(N)c(C(=O)Nc2ccc(Cl)cn2)c1	train
NCCS(N)(=O)=O	O=S1(=O)CCNCN1	train
COc1ccc(CN2CCN(C=O)CC2)c(OC)c1OC	COc1ccc(CN2CCNCC2)c(OC)c1OC	train
O=C1Nc2ccc([N+](=O)[O-])cc2C(c2ccccc2Cl)=NC1OC1OC(C(=O)O)C(O)C(O)C1O	O=C1Nc2ccc([N+](=O)[O-])cc2C(c2ccccc2Cl)=NC1O	train
